Z,A,mean_I_raw,mean_I_adj,sigma,R_analytic
32,82,4.10,3.10,2.870376,0.059773
32,84,3.92,2.92,2.726540,0.066137
34,84,3.85,2.85,2.670595,0.068888
34,86,4.26,3.26,2.998204,0.054854
34,88,4.41,3.41,3.118025,0.050772
36,88,4.75,3.75,3.389567,0.043048
36,90,4.72,3.72,3.365610,0.043657
36,92,5.10,4.10,3.669038,0.036799
36,94,6.02,5.02,4.403467,0.025620
38,92,4.05,3.05,2.830425,0.061446
38,94,4.44,3.44,3.141988,0.050011
38,96,5.52,4.52,4.004346,0.030940
38,98,6.01,5.01,4.395485,0.025713
40,98,6.40,5.40,4.706770,0.022443
40,100,6.07,5.07,4.443377,0.025165
50,130,3.29,2.29,2.222759,0.098673
50,132,3.64,2.64,2.502719,0.078249
52,132,3.38,2.38,2.294773,0.092722
52,134,3.44,2.44,2.342773,0.089047
52,136,4.83,3.83,3.453451,0.041487
52,138,4.74,3.74,3.381582,0.043250
54,138,4.53,3.53,3.213871,0.047825
54,140,7.70,6.70,5.744266,0.015096
54,142,7.60,6.60,5.664463,0.015522
56,142,5.87,4.87,4.283736,0.027062
56,144,7.49,6.49,5.576679,0.016013
56,146,7.03,6.03,5.209575,0.018339
58,148,7.70,6.70,5.744266,0.015096
58,150,8.74,7.74,6.574185,0.011535
